cpu   mem rx   tx    role
40.2  9.5 14.2 29.92 acceptor
40.3  9.6 14.4 29.95 acceptor
40.5  9.7 14.6 29.73 acceptor
40.6  9.8 14.7 29.57 acceptor
40.8 10.0 14.7 29.50 acceptor
40.9 10.1 14.7 29.57 acceptor
41.1 10.2 14.7 29.49 acceptor
41.2 10.3 14.7 29.51 acceptor
83.9 16.1 32.06 21.07 proposer
84.1 16.3 32.33 21.32 proposer
84.2 16.5 34.16 21.31 proposer
84.4 16.7 36.53 21.27 proposer
84.5 16.9 37.03 21.32 proposer
84.7 17.1 37.24 21.26 proposer
84.8 17.3 37.24 21.21 proposer
85.2 17.6 36.66 21.21 proposer
21.3  0.0 14.62 5.52 learner
21.4  0.0 14.52 5.43 learner
21.5  0.0 14.48 5.44 learner
21.5  0.0 14.36 5.46 learner
21.6  0.0 14.31 5.55 learner
21.6  0.0 14.32 5.51 learner
21.7  0.0 14.32 5.48 learner
21.8  0.0 14.30 5.48 learner    
